date_time,wind_speed (m/s)
2016-10-08 21:36:00,4.8
2016-10-08 21:42:00,3.9
2016-10-08 21:48:00,4.9
2016-10-08 21:54:00,4.5
2016-10-08 22:00:00,4.7
2016-10-08 22:06:00,4.0
2016-10-08 22:12:00,4.6
2016-10-08 22:18:00,4.1
2016-10-08 22:24:00,4.2
2016-10-08 22:30:00,3.5
2016-10-08 22:36:00,3.0
2016-10-08 22:42:00,3.9
2016-10-08 22:48:00,4.2
2016-10-08 22:54:00,3.7
2016-10-08 23:00:00,3.7
2016-10-08 23:06:00,3.8
2016-10-08 23:12:00,3.5
2016-10-08 23:18:00,3.4
2016-10-08 23:24:00,3.5
2016-10-08 23:30:00,3.3
2016-10-08 23:36:00,3.8
2016-10-08 23:42:00,3.3
2016-10-08 23:48:00,4.2
2016-10-08 23:54:00,4.3
2016-10-09 00:00:00,5.1
2016-10-09 00:06:00,4.0
2016-10-09 00:12:00,4.1
2016-10-09 00:18:00,3.5
2016-10-09 00:24:00,3.2
2016-10-09 00:30:00,3.6
2016-10-09 00:36:00,5.2
2016-10-09 00:42:00,6.3
2016-10-09 00:48:00,6.9
2016-10-09 00:54:00,7.2
2016-10-09 01:00:00,5.9
2016-10-09 01:06:00,4.6
2016-10-09 01:12:00,3.9
2016-10-09 01:18:00,7.2
2016-10-09 01:24:00,6.0
2016-10-09 01:30:00,5.5
2016-10-09 01:36:00,3.9
2016-10-09 01:42:00,3.7
2016-10-09 01:48:00,4.4
2016-10-09 01:54:00,6.2
2016-10-09 02:00:00,5.4
2016-10-09 02:06:00,6.0
2016-10-09 02:12:00,6.9
2016-10-09 02:18:00,6.5
2016-10-09 02:24:00,7.1
2016-10-09 02:30:00,8.1
2016-10-09 02:36:00,6.4
2016-10-09 02:42:00,5.3
2016-10-09 02:48:00,7.2
2016-10-09 02:54:00,8.7
2016-10-09 03:00:00,8.1
2016-10-09 03:06:00,8.3
2016-10-09 03:12:00,8.1
2016-10-09 03:18:00,8.6
2016-10-09 03:24:00,10.0
2016-10-09 03:30:00,9.9
2016-10-09 03:36:00,9.9
2016-10-09 03:42:00,9.5
2016-10-09 03:48:00,9.2
2016-10-09 03:54:00,10.0
2016-10-09 04:00:00,8.8
2016-10-09 04:06:00,9.0
2016-10-09 04:12:00,8.8
2016-10-09 04:18:00,7.7
2016-10-09 04:24:00,12.4
2016-10-09 04:30:00,11.4
2016-10-09 04:36:00,10.3
2016-10-09 04:42:00,11.5
2016-10-09 04:48:00,10.7
2016-10-09 04:54:00,9.6
2016-10-09 05:00:00,9.3
2016-10-09 05:06:00,9.9
2016-10-09 05:12:00,8.0
2016-10-09 05:18:00,10.0
2016-10-09 05:24:00,10.2
2016-10-09 05:30:00,9.9
2016-10-09 05:36:00,7.9
2016-10-09 05:42:00,9.7
2016-10-09 05:48:00,8.0
2016-10-09 05:54:00,10.2
2016-10-09 06:00:00,10.3
2016-10-09 06:06:00,9.4
2016-10-09 06:12:00,9.1
2016-10-09 06:18:00,8.0
2016-10-09 06:24:00,8.9
2016-10-09 06:30:00,8.3
2016-10-09 06:36:00,10.7
2016-10-09 06:42:00,9.6
2016-10-09 06:48:00,10.2
2016-10-09 06:54:00,10.7
2016-10-09 07:00:00,8.9
2016-10-09 07:06:00,9.4
2016-10-09 07:12:00,9.0
2016-10-09 07:18:00,7.9
2016-10-09 07:24:00,6.3
2016-10-09 07:30:00,6.2
2016-10-09 07:36:00,6.0
2016-10-09 07:42:00,6.3
2016-10-09 07:48:00,8.7
2016-10-09 07:54:00,7.4
2016-10-09 08:00:00,7.7
2016-10-09 08:06:00,8.3
2016-10-09 08:12:00,8.2
2016-10-09 08:18:00,8.3
2016-10-09 08:24:00,7.4
2016-10-09 08:30:00,8.3
2016-10-09 08:36:00,8.7
2016-10-09 08:42:00,8.7
2016-10-09 08:48:00,8.2
2016-10-09 08:54:00,9.4
2016-10-09 09:00:00,9.0
2016-10-09 09:06:00,9.6
2016-10-09 09:12:00,9.5
2016-10-09 09:18:00,9.1
2016-10-09 09:24:00,8.2
2016-10-09 09:30:00,8.6
2016-10-09 09:36:00,8.5
2016-10-09 09:42:00,8.3
2016-10-09 09:48:00,8.0
2016-10-09 09:54:00,9.0
2016-10-09 10:00:00,8.8
2016-10-09 10:06:00,7.7
2016-10-09 10:12:00,8.2
2016-10-09 10:18:00,8.7
2016-10-09 10:24:00,8.8
2016-10-09 10:30:00,9.0
2016-10-09 10:36:00,7.8
2016-10-09 10:42:00,7.5
2016-10-09 10:48:00,8.0
2016-10-09 10:54:00,8.3
2016-10-09 11:00:00,8.5
2016-10-09 11:06:00,7.8
2016-10-09 11:12:00,8.2
2016-10-09 11:18:00,8.5
2016-10-09 11:24:00,7.9
2016-10-09 11:30:00,8.3
2016-10-09 11:36:00,8.3
2016-10-09 11:42:00,7.4
2016-10-09 11:48:00,8.0
2016-10-09 11:54:00,7.8
2016-10-09 12:00:00,7.6
2016-10-09 12:06:00,7.3
2016-10-09 12:12:00,7.5
2016-10-09 12:18:00,7.9
2016-10-09 12:24:00,8.1
2016-10-09 12:30:00,7.4
2016-10-09 12:36:00,7.8
2016-10-09 12:42:00,7.3
2016-10-09 12:48:00,7.4
2016-10-09 12:54:00,7.4
2016-10-09 13:00:00,7.7
2016-10-09 13:06:00,7.4
2016-10-09 13:12:00,7.3
2016-10-09 13:18:00,7.5
2016-10-09 13:24:00,7.4
2016-10-09 13:30:00,7.6
2016-10-09 13:36:00,7.5
2016-10-09 13:42:00,7.9
2016-10-09 13:48:00,7.0
2016-10-09 13:54:00,5.9
2016-10-09 14:00:00,6.7
2016-10-09 14:06:00,6.8
2016-10-09 14:12:00,7.4
2016-10-09 14:18:00,7.3
2016-10-09 14:24:00,7.4
2016-10-09 14:30:00,7.8
2016-10-09 14:36:00,5.9
2016-10-09 14:42:00,6.6
2016-10-09 14:48:00,6.9
2016-10-09 14:54:00,7.7
2016-10-09 15:00:00,8.0
2016-10-09 15:06:00,7.1
2016-10-09 15:12:00,6.7
2016-10-09 15:18:00,6.3
2016-10-09 15:24:00,5.9
2016-10-09 15:30:00,6.2
2016-10-09 15:36:00,6.6
2016-10-09 15:42:00,6.4
2016-10-09 15:48:00,5.4
2016-10-09 15:54:00,6.1
2016-10-09 16:00:00,6.0
2016-10-09 16:06:00,5.9
2016-10-09 16:12:00,5.5
2016-10-09 16:18:00,5.5
2016-10-09 16:24:00,5.7
2016-10-09 16:30:00,5.5
2016-10-09 16:36:00,5.7
2016-10-09 16:42:00,5.6
2016-10-09 16:48:00,5.5
2016-10-09 16:54:00,5.8
2016-10-09 17:00:00,5.4
2016-10-09 17:06:00,5.3
2016-10-09 17:12:00,8.0
2016-10-09 17:18:00,7.0
2016-10-09 17:24:00,6.9
2016-10-09 17:30:00,6.7
2016-10-09 17:36:00,6.9
2016-10-09 17:42:00,6.6
2016-10-09 17:48:00,7.1
2016-10-09 17:54:00,7.0
2016-10-09 18:00:00,5.8
2016-10-09 18:06:00,6.6
2016-10-09 18:12:00,6.5
2016-10-09 18:18:00,5.8
2016-10-09 18:24:00,5.8
2016-10-09 18:30:00,6.6
2016-10-09 18:36:00,6.5
2016-10-09 18:42:00,6.2
2016-10-09 18:48:00,6.6
2016-10-09 18:54:00,7.4
2016-10-09 19:00:00,7.0
2016-10-09 19:06:00,6.6
2016-10-09 19:12:00,6.7
2016-10-09 19:18:00,7.4
2016-10-09 19:24:00,6.9
2016-10-09 19:30:00,6.8
2016-10-09 19:36:00,6.8
2016-10-09 19:42:00,6.3
2016-10-09 19:48:00,6.9
2016-10-09 19:54:00,7.1
2016-10-09 20:00:00,6.8
2016-10-09 20:06:00,6.9
2016-10-09 20:12:00,7.0
2016-10-09 20:18:00,6.5
2016-10-09 20:24:00,6.9
2016-10-09 20:30:00,6.5
2016-10-09 20:36:00,6.4
2016-10-09 20:42:00,6.2
2016-10-09 20:48:00,6.1
2016-10-09 20:54:00,6.7
2016-10-09 21:00:00,6.5
2016-10-09 21:06:00,6.3
2016-10-09 21:12:00,6.2
2016-10-09 21:18:00,6.3
2016-10-09 21:24:00,5.9
2016-10-09 21:30:00,6.0
2016-10-09 21:36:00,5.8
2016-10-09 21:42:00,5.9
2016-10-09 21:48:00,5.9
2016-10-09 21:54:00,6.2
2016-10-09 22:00:00,6.6
2016-10-09 22:06:00,6.1
2016-10-09 22:12:00,5.9
2016-10-09 22:18:00,6.4
2016-10-09 22:24:00,6.4
2016-10-09 22:30:00,6.7
2016-10-09 22:36:00,6.0
2016-10-09 22:42:00,5.8
2016-10-09 22:48:00,5.7
2016-10-09 22:54:00,6.4
2016-10-09 23:00:00,6.4
2016-10-09 23:06:00,5.7
2016-10-09 23:12:00,6.2
2016-10-09 23:18:00,6.2
2016-10-09 23:24:00,5.8
2016-10-09 23:30:00,6.6
2016-10-09 23:36:00,5.5
2016-10-09 23:42:00,6.1
2016-10-09 23:48:00,6.1
2016-10-09 23:54:00,6.8
2016-10-10 00:00:00,6.7
2016-10-10 00:06:00,7.6
2016-10-10 00:12:00,6.4
2016-10-10 00:18:00,6.5
2016-10-10 00:24:00,5.2
2016-10-10 00:30:00,5.9
2016-10-10 00:36:00,5.8
2016-10-10 00:42:00,5.6
2016-10-10 00:48:00,5.6
2016-10-10 00:54:00,5.6
2016-10-10 01:00:00,5.6
2016-10-10 01:06:00,5.0
2016-10-10 01:12:00,5.0
2016-10-10 01:18:00,5.6
2016-10-10 01:24:00,5.5
2016-10-10 01:30:00,5.5
2016-10-10 01:36:00,6.0
2016-10-10 01:42:00,6.1
2016-10-10 01:48:00,6.0
2016-10-10 01:54:00,6.0
2016-10-10 02:00:00,6.0
2016-10-10 02:06:00,5.4
2016-10-10 02:12:00,6.3
2016-10-10 02:18:00,5.7
2016-10-10 02:24:00,5.7
2016-10-10 02:30:00,5.6
2016-10-10 02:36:00,5.6
2016-10-10 02:42:00,5.3
2016-10-10 02:48:00,5.8
2016-10-10 02:54:00,5.4
2016-10-10 03:00:00,5.6
2016-10-10 03:06:00,5.6
2016-10-10 03:12:00,5.8
2016-10-10 03:18:00,5.5
2016-10-10 03:24:00,6.0
2016-10-10 03:30:00,4.7
2016-10-10 03:36:00,5.3
2016-10-10 03:42:00,5.2
2016-10-10 03:48:00,5.0
2016-10-10 03:54:00,5.1
2016-10-10 04:00:00,4.8
2016-10-10 04:06:00,5.2
2016-10-10 04:12:00,4.9
2016-10-10 04:18:00,5.7
2016-10-10 04:24:00,5.8
2016-10-10 04:30:00,5.6
2016-10-10 04:36:00,5.8
2016-10-10 04:42:00,5.6
2016-10-10 04:48:00,5.8
2016-10-10 04:54:00,5.2
2016-10-10 05:00:00,5.6
2016-10-10 05:06:00,5.6
2016-10-10 05:12:00,6.1
2016-10-10 05:18:00,5.9
2016-10-10 05:24:00,5.7
2016-10-10 05:30:00,6.1
2016-10-10 05:36:00,6.6
2016-10-10 05:42:00,6.3
2016-10-10 05:48:00,6.3
2016-10-10 05:54:00,5.7
2016-10-10 06:00:00,6.0
2016-10-10 06:06:00,6.8
2016-10-10 06:12:00,7.1
2016-10-10 06:18:00,8.1
2016-10-10 06:24:00,7.5
2016-10-10 06:30:00,8.1
2016-10-10 06:36:00,7.8
2016-10-10 06:42:00,6.4
2016-10-10 06:48:00,5.9
2016-10-10 06:54:00,5.9
2016-10-10 07:00:00,5.2
2016-10-10 07:06:00,6.7
2016-10-10 07:12:00,6.1
2016-10-10 07:18:00,6.7
2016-10-10 07:24:00,5.5
2016-10-10 07:30:00,6.1
2016-10-10 07:36:00,5.7
2016-10-10 07:42:00,5.5
2016-10-10 07:48:00,6.1
2016-10-10 07:54:00,6.3
2016-10-10 08:00:00,6.6
2016-10-10 08:06:00,6.1
2016-10-10 08:12:00,6.1
2016-10-10 08:18:00,5.9
2016-10-10 08:24:00,6.5
2016-10-10 08:30:00,6.5
2016-10-10 08:36:00,6.1
2016-10-10 08:42:00,6.4
2016-10-10 08:48:00,5.7
2016-10-10 08:54:00,5.5
2016-10-10 09:00:00,5.1
2016-10-10 09:06:00,4.6
2016-10-10 09:12:00,5.1
2016-10-10 09:18:00,5.3
2016-10-10 09:24:00,5.8
2016-10-10 09:30:00,5.9
2016-10-10 09:36:00,6.5
2016-10-10 09:42:00,6.4
2016-10-10 09:48:00,5.9
2016-10-10 09:54:00,5.4
2016-10-10 10:00:00,5.7
2016-10-10 10:06:00,5.8
2016-10-10 10:12:00,5.9
2016-10-10 10:18:00,5.4
2016-10-10 10:24:00,6.0
2016-10-10 10:30:00,6.1
2016-10-10 10:36:00,6.6
2016-10-10 10:42:00,7.1
2016-10-10 10:48:00,6.8
2016-10-10 10:54:00,6.2
2016-10-10 11:00:00,6.2
2016-10-10 11:06:00,6.4
2016-10-10 11:12:00,6.0
2016-10-10 11:18:00,6.0
2016-10-10 11:24:00,6.1
2016-10-10 11:30:00,5.8
2016-10-10 11:36:00,5.7
2016-10-10 11:42:00,5.9
2016-10-10 11:48:00,6.3
2016-10-10 11:54:00,6.5
2016-10-10 12:00:00,6.7
2016-10-10 12:06:00,7.0
2016-10-10 12:12:00,6.5
2016-10-10 12:18:00,7.3
2016-10-10 12:24:00,7.1
2016-10-10 12:30:00,6.7
2016-10-10 12:36:00,6.6
2016-10-10 12:42:00,7.0
2016-10-10 12:48:00,7.5
2016-10-10 12:54:00,7.8
2016-10-10 13:00:00,7.9
2016-10-10 13:06:00,7.4
2016-10-10 13:12:00,7.7
2016-10-10 13:18:00,7.1
2016-10-10 13:24:00,7.9
2016-10-10 13:30:00,7.7
2016-10-10 13:36:00,7.6
2016-10-10 13:42:00,7.1
2016-10-10 13:48:00,7.5
2016-10-10 13:54:00,7.8
2016-10-10 14:00:00,7.1
2016-10-10 14:06:00,8.7
2016-10-10 14:12:00,7.6
2016-10-10 14:18:00,7.7
2016-10-10 14:24:00,8.2
2016-10-10 14:30:00,7.9
2016-10-10 14:36:00,8.2
2016-10-10 14:42:00,7.8
2016-10-10 14:48:00,7.7
2016-10-10 14:54:00,8.7
2016-10-10 15:00:00,8.5
2016-10-10 15:06:00,8.3
2016-10-10 15:12:00,8.2
2016-10-10 15:18:00,7.9
2016-10-10 15:24:00,7.7
2016-10-10 15:30:00,7.8
2016-10-10 15:36:00,7.9
2016-10-10 15:42:00,8.3
2016-10-10 15:48:00,8.6
2016-10-10 15:54:00,8.7
2016-10-10 16:00:00,9.1
2016-10-10 16:06:00,8.8
2016-10-10 16:12:00,9.3
2016-10-10 16:18:00,10.3
2016-10-10 16:24:00,9.8
2016-10-10 16:30:00,9.3
2016-10-10 16:36:00,9.3
2016-10-10 16:42:00,8.8
2016-10-10 16:48:00,9.3
2016-10-10 16:54:00,10.0
2016-10-10 17:00:00,8.9
2016-10-10 17:06:00,9.2
2016-10-10 17:12:00,9.5
2016-10-10 17:18:00,8.8
2016-10-10 17:24:00,8.9
2016-10-10 17:30:00,9.3
2016-10-10 17:36:00,9.6
2016-10-10 17:42:00,9.2
2016-10-10 17:48:00,8.9
2016-10-10 17:54:00,9.1
2016-10-10 18:00:00,9.7
2016-10-10 18:06:00,8.9
2016-10-10 18:12:00,10.2
2016-10-10 18:18:00,8.8
2016-10-10 18:24:00,8.1
2016-10-10 18:30:00,8.6
2016-10-10 18:36:00,7.9
2016-10-10 18:42:00,7.5
2016-10-10 18:48:00,8.6
2016-10-10 18:54:00,7.8
2016-10-10 19:00:00,7.7
2016-10-10 19:06:00,8.7
2016-10-10 19:12:00,7.3
2016-10-10 19:18:00,7.5
2016-10-10 19:24:00,7.7
2016-10-10 19:30:00,8.9
2016-10-10 19:36:00,10.7
2016-10-10 19:42:00,9.0
2016-10-10 19:48:00,9.6
2016-10-10 19:54:00,9.7
2016-10-10 20:00:00,8.9
2016-10-10 20:06:00,8.9
2016-10-10 20:12:00,9.2
2016-10-10 20:18:00,9.1
2016-10-10 20:24:00,9.5
2016-10-10 20:30:00,8.6
2016-10-10 20:36:00,9.1
2016-10-10 20:42:00,8.4
2016-10-10 20:48:00,8.0
2016-10-10 20:54:00,8.4
2016-10-10 21:00:00,7.7
2016-10-10 21:06:00,9.0
2016-10-10 21:12:00,8.7
2016-10-10 21:18:00,8.3
2016-10-10 21:24:00,8.8
2016-10-10 21:30:00,8.4
2016-10-10 21:36:00,7.9
2016-10-10 21:42:00,7.9
2016-10-10 21:48:00,7.2
2016-10-10 21:54:00,7.5
2016-10-10 22:00:00,8.0
2016-10-10 22:06:00,8.5
2016-10-10 22:12:00,8.6
2016-10-10 22:18:00,8.1
2016-10-10 22:24:00,7.9
2016-10-10 22:30:00,7.4
2016-10-10 22:36:00,7.4
2016-10-10 22:42:00,6.8
2016-10-10 22:48:00,7.3
2016-10-10 22:54:00,7.3
2016-10-10 23:00:00,7.2
2016-10-10 23:06:00,7.4
2016-10-10 23:12:00,7.2
2016-10-10 23:18:00,7.8
2016-10-10 23:24:00,7.0
2016-10-10 23:30:00,6.9
2016-10-10 23:36:00,6.9
2016-10-10 23:42:00,6.6
2016-10-10 23:48:00,5.9
2016-10-10 23:54:00,6.3
2016-10-11 00:00:00,5.8
2016-10-11 00:06:00,6.2
2016-10-11 00:12:00,6.2
2016-10-11 00:18:00,6.2
2016-10-11 00:24:00,5.8
2016-10-11 00:30:00,5.8
2016-10-11 00:36:00,5.6
2016-10-11 00:42:00,5.6
2016-10-11 00:48:00,5.6
2016-10-11 00:54:00,5.6
2016-10-11 01:00:00,6.1
2016-10-11 01:06:00,5.2
2016-10-11 01:12:00,5.1
2016-10-11 01:18:00,5.3
2016-10-11 01:24:00,5.4
2016-10-11 01:30:00,5.4
2016-10-11 01:36:00,4.5
2016-10-11 01:42:00,4.5
2016-10-11 01:48:00,4.5
2016-10-11 01:54:00,4.0
2016-10-11 02:00:00,4.4
2016-10-11 02:06:00,4.1
2016-10-11 02:12:00,4.3
2016-10-11 02:18:00,4.6
2016-10-11 02:24:00,4.1
2016-10-11 02:30:00,4.5
2016-10-11 02:36:00,5.3
2016-10-11 02:42:00,4.8
2016-10-11 02:48:00,5.1
2016-10-11 02:54:00,4.4
2016-10-11 03:00:00,4.6
2016-10-11 03:06:00,5.4
2016-10-11 03:12:00,5.9
2016-10-11 03:18:00,5.9
2016-10-11 03:24:00,5.7
2016-10-11 03:30:00,5.9
2016-10-11 03:36:00,6.0
2016-10-11 03:42:00,5.5
2016-10-11 03:48:00,5.9
2016-10-11 03:54:00,5.4
2016-10-11 04:00:00,5.5
2016-10-11 04:06:00,5.4
2016-10-11 04:12:00,6.3
2016-10-11 04:18:00,7.0
2016-10-11 04:24:00,5.1
2016-10-11 04:30:00,4.9
2016-10-11 04:36:00,4.8
2016-10-11 04:42:00,5.5
2016-10-11 04:48:00,5.1
2016-10-11 04:54:00,6.5
2016-10-11 05:00:00,4.3
2016-10-11 05:06:00,3.7
2016-10-11 05:12:00,4.1
2016-10-11 05:18:00,2.4
2016-10-11 05:24:00,2.1
2016-10-11 05:30:00,3.4
2016-10-11 05:36:00,3.0
2016-10-11 05:42:00,3.1
2016-10-11 05:48:00,3.7
2016-10-11 05:54:00,8.9
2016-10-11 06:00:00,7.6
2016-10-11 06:06:00,6.8
2016-10-11 06:12:00,6.7
2016-10-11 06:18:00,5.9
2016-10-11 06:24:00,5.4
2016-10-11 06:30:00,5.5
2016-10-11 06:36:00,4.6
2016-10-11 06:42:00,5.2
2016-10-11 06:48:00,5.3
2016-10-11 06:54:00,4.2
2016-10-11 07:00:00,4.5
2016-10-11 07:06:00,2.1
2016-10-11 07:12:00,2.2
2016-10-11 07:18:00,2.9
2016-10-11 07:24:00,2.4
2016-10-11 07:30:00,2.7
2016-10-11 07:36:00,2.7
2016-10-11 07:42:00,2.7
2016-10-11 07:48:00,2.2
2016-10-11 07:54:00,2.9
2016-10-11 08:00:00,3.1
2016-10-11 08:06:00,3.4
2016-10-11 08:12:00,5.6
2016-10-11 08:18:00,6.0
2016-10-11 08:24:00,5.9
2016-10-11 08:30:00,5.4
2016-10-11 08:36:00,6.1
2016-10-11 08:42:00,5.5
2016-10-11 08:48:00,3.2
2016-10-11 08:54:00,2.1
2016-10-11 09:00:00,5.6
2016-10-11 09:06:00,4.0
2016-10-11 09:12:00,4.4
2016-10-11 09:18:00,5.0
2016-10-11 09:24:00,4.8
2016-10-11 09:30:00,3.6
2016-10-11 09:36:00,4.6
2016-10-11 09:42:00,5.1
2016-10-11 09:48:00,2.9
2016-10-11 09:54:00,3.3
2016-10-11 10:00:00,2.9
2016-10-11 10:06:00,3.1
2016-10-11 10:12:00,3.0
2016-10-11 10:18:00,3.1
2016-10-11 10:24:00,3.2
2016-10-11 10:30:00,2.7
2016-10-11 10:36:00,2.8
2016-10-11 10:42:00,3.9
2016-10-11 10:48:00,3.2
2016-10-11 10:54:00,2.9
2016-10-11 11:00:00,5.1
2016-10-11 11:06:00,5.0
2016-10-11 11:12:00,5.1
2016-10-11 11:18:00,5.2
2016-10-11 11:24:00,3.3
2016-10-11 11:30:00,3.1
2016-10-11 11:36:00,3.6
2016-10-11 11:42:00,5.2
2016-10-11 11:48:00,5.3
2016-10-11 11:54:00,6.0
2016-10-11 12:00:00,5.3
2016-10-11 12:06:00,5.6
2016-10-11 12:12:00,5.7
2016-10-11 12:18:00,5.3
2016-10-11 12:24:00,4.9
2016-10-11 12:30:00,5.4
2016-10-11 12:36:00,5.2
2016-10-11 12:42:00,5.4
2016-10-11 12:48:00,5.5
2016-10-11 12:54:00,5.9
2016-10-11 13:00:00,5.3
2016-10-11 13:06:00,5.5
2016-10-11 13:12:00,5.6
2016-10-11 13:18:00,6.0
2016-10-11 13:24:00,5.6
2016-10-11 13:30:00,5.6
2016-10-11 13:36:00,5.5
2016-10-11 13:42:00,5.2
2016-10-11 13:48:00,5.7
2016-10-11 13:54:00,5.7
2016-10-11 14:00:00,5.9
2016-10-11 14:06:00,5.6
2016-10-11 14:12:00,6.1
2016-10-11 14:18:00,5.8
2016-10-11 14:24:00,5.5
2016-10-11 14:30:00,5.4
2016-10-11 14:36:00,5.8
2016-10-11 14:42:00,5.5
2016-10-11 14:48:00,5.4
2016-10-11 14:54:00,5.5
2016-10-11 15:00:00,6.2
2016-10-11 15:06:00,6.2
2016-10-11 15:12:00,4.9
2016-10-11 15:18:00,6.1
2016-10-11 15:24:00,6.3
2016-10-11 15:30:00,6.2
2016-10-11 15:36:00,6.2
2016-10-11 15:42:00,6.7
2016-10-11 15:48:00,6.4
2016-10-11 15:54:00,6.3
2016-10-11 16:00:00,5.9
2016-10-11 16:06:00,6.5
2016-10-11 16:12:00,5.9
2016-10-11 16:18:00,5.6
2016-10-11 16:24:00,5.7
2016-10-11 16:30:00,5.4
2016-10-11 16:36:00,6.2
2016-10-11 16:42:00,6.0
2016-10-11 16:48:00,6.4
2016-10-11 16:54:00,6.4
2016-10-11 17:00:00,6.7
2016-10-11 17:06:00,6.4
2016-10-11 17:12:00,6.0
2016-10-11 17:18:00,6.5
2016-10-11 17:24:00,6.7
2016-10-11 17:30:00,6.5
2016-10-11 17:36:00,6.0
2016-10-11 17:42:00,5.7
2016-10-11 17:48:00,6.0
2016-10-11 17:54:00,5.4
2016-10-11 18:00:00,6.4
2016-10-11 18:06:00,6.3
2016-10-11 18:12:00,5.9
2016-10-11 18:18:00,6.1
2016-10-11 18:24:00,6.3
2016-10-11 18:30:00,6.7
2016-10-11 18:36:00,7.2
2016-10-11 18:42:00,7.3
2016-10-11 18:48:00,6.2
2016-10-11 18:54:00,6.3
2016-10-11 19:00:00,6.5
2016-10-11 19:06:00,6.9
2016-10-11 19:12:00,6.8
2016-10-11 19:18:00,5.7
2016-10-11 19:24:00,6.3
2016-10-11 19:30:00,6.0
2016-10-11 19:36:00,6.7
2016-10-11 19:42:00,6.3
2016-10-11 19:48:00,5.6
2016-10-11 19:54:00,6.3
2016-10-11 20:00:00,5.7
2016-10-11 20:06:00,5.9
2016-10-11 20:12:00,6.0
2016-10-11 20:18:00,6.1
2016-10-11 20:24:00,6.4
2016-10-11 20:30:00,5.6
2016-10-11 20:36:00,5.7
2016-10-11 20:42:00,5.8
2016-10-11 20:48:00,5.6
2016-10-11 20:54:00,6.2
2016-10-11 21:00:00,5.7
2016-10-11 21:06:00,5.9
2016-10-11 21:12:00,5.3
2016-10-11 21:18:00,5.1
2016-10-11 21:24:00,5.3
2016-10-11 21:30:00,3.5
2016-10-11 21:36:00,5.9
2016-10-11 21:42:00,5.0
2016-10-11 21:48:00,4.1
2016-10-11 21:54:00,3.5
2016-10-11 22:00:00,3.2
2016-10-11 22:06:00,2.9
2016-10-11 22:12:00,3.9
2016-10-11 22:18:00,4.0
2016-10-11 22:24:00,3.2
2016-10-11 22:30:00,3.3
2016-10-11 22:36:00,3.5
2016-10-11 22:42:00,3.0
2016-10-11 22:48:00,3.3
2016-10-11 22:54:00,2.9
2016-10-11 23:00:00,2.9
2016-10-11 23:06:00,3.4
2016-10-11 23:12:00,3.2
2016-10-11 23:18:00,3.1
2016-10-11 23:24:00,3.2
2016-10-11 23:30:00,2.8
2016-10-11 23:36:00,2.4
2016-10-11 23:42:00,2.2
2016-10-11 23:48:00,2.4
2016-10-11 23:54:00,2.9
2016-10-12 00:00:00,3.0
